Protein stable ID	UniProtKB Gene Name ID
ENSP00000346050.3	D6RED7
ENSP00000346050.3	D6RAT0
ENSP00000346050.3	E9PFI5
ENSP00000346050.3	D6RB09
ENSP00000346050.3	D6R9B6
ENSP00000452763.1	P46779
ENSP00000452763.1	H0YKD8
ENSP00000452763.1	H0YLP6
ENSP00000452763.1	H0YMF4
ENSP00000418082.1	G5E9R3
ENSP00000418082.1	Q6P4E4
ENSP00000418082.1	P61513
ENSP00000418082.1	C9J4Z3
ENSP00000418082.1	M0R0A1
ENSP00000418082.1	M0R2L6
ENSP00000418082.1	E9PEL3
ENSP00000513432.1	P08865
ENSP00000513432.1	A0A0C4DG17
ENSP00000513432.1	A0A8V8TMZ8
ENSP00000513432.1	F8WD59
ENSP00000513432.1	A0A8V8TLA4
ENSP00000513432.1	A0A8V8TMX1
ENSP00000431240.1	P05387
ENSP00000268661.7	H3BQN3
ENSP00000268661.7	Q92901
ENSP00000341885.4	P15880
ENSP00000341885.4	E9PM36
ENSP00000341885.4	E9PMM9
ENSP00000341885.4	E9PPT0
ENSP00000341885.4	E9PQD7
ENSP00000341885.4	I3L404
ENSP00000341885.4	H0YEN5
ENSP00000341885.4	H3BNG3
ENSP00000376811.3	A8K4C8
ENSP00000376811.3	P26373
ENSP00000376811.3	H3BUK8
ENSP00000376811.3	J3QSB4
ENSP00000376811.3	H3BTH3
ENSP00000339027.3	G3V210
ENSP00000339027.3	P05388
ENSP00000339027.3	F8VWV4
ENSP00000339027.3	F8VYN4
ENSP00000339027.3	F8VQY6
ENSP00000339027.3	F8VRK7
ENSP00000339027.3	F8VPE8
ENSP00000339027.3	F8W1K8
ENSP00000339027.3	F8VWS0
ENSP00000339027.3	F8VS58
ENSP00000339027.3	F8VU65
ENSP00000339027.3	F8VZS0
ENSP00000339027.3	F8VW21
ENSP00000419713.1	Q5JWX6
ENSP00000419713.1	Q6P5R6
ENSP00000419713.1	H0Y8C2
ENSP00000419713.1	F8WDK8
ENSP00000419713.1	C9JYQ9
ENSP00000439170.1	Q15813
ENSP00000439170.1	A0A2R8Y5H6
ENSP00000439170.1	A0A2U3TZJ6
ENSP00000439170.1	A0A2R8Y6Q1
ENSP00000439170.1	A0A2R8Y787
ENSP00000439170.1	A0A2R8YH53
ENSP00000439170.1	A0A2R8Y809
ENSP00000439170.1	A0A2R8Y784
ENSP00000439170.1	A0A2R8Y7E7
ENSP00000439170.1	A0A2R8YER9
ENSP00000439170.1	A0A2R8Y4V6
ENSP00000439170.1	A0A2R8YFM3
ENSP00000439170.1	A0A2R8Y897
ENSP00000439170.1	A0A2R8Y597
ENSP00000439170.1	A0A2R8YHI9
ENSP00000439170.1	A0A2R8Y4P2
ENSP00000439170.1	A0A2R8Y6L2
ENSP00000439170.1	A0A2R8Y5Q8
ENSP00000439170.1	A0A2R8YFG9
ENSP00000272317.6	P62979
ENSP00000272317.6	B2RDW1
ENSP00000272317.6	J3QTR3
ENSP00000496250.1	Q5VVD0
ENSP00000496250.1	P62913
ENSP00000496250.1	Q5VVC8
ENSP00000496250.1	A0A2R8Y447
YBL027W	P0CX83
YBL027W	P0CX82
YBL072C	P0CX40
YBL072C	A0A6A5Q1H1
YBL072C	P0CX39
YBL087C	P0CX41
YBL087C	P0CX42
YBL092W	P38061
YBL092W	A0A6A5Q1M9
YBR031W	P10664
YBR031W	A0A6A5Q3W0
YBR048W	P0CX47
YBR048W	P0CX48
YBR084C-A	P0CX83
YBR084C-A	P0CX82
YBR181C	P0CX38
YBR181C	P0CX37
YBR189W	P05755
YBR191W	Q02753
YCR031C	P06367
YDL061C	A0A6A5PY01
YDL061C	P41058
YDL075W	P0C2H8
YDL081C	P05318
YDL081C	A0A6A5Q0Z4
YDL082W	Q12690
YDL083C	P0CX52
YDL083C	P0CX51
YDL130W	P10622
YDL133C-A	P0CX87
YDL133C-A	P0CX86
YDL133C-A	A0A8H8UMB4
YDL136W	P0CX85
YDL136W	P0CX84
YDL184C	P0CX87
YDL184C	P0CX86
YDL184C	A0A8H8UMB4
YDL191W	P0CX85
YDL191W	P0CX84
YDL208W	A0A6A5PYW0
YDL208W	P32495
YDR012W	A0A8H8UMT2
YDR012W	P49626
YDR025W	P0CX47
YDR025W	P0CX48
YDR064W	P05756
YDR116C	Q04599
YDR116C	A0A8H8UN29
YDR382W	P02400
YDR382W	A0A6A5Q076
YDR418W	A0A6A5Q275
YDR418W	P0CX53
YDR418W	P0CX54
YDR447C	P14127
YDR450W	P0CX56
YDR450W	P0CX55
YDR471W	P0C2H7
YDR500C	P51402
YEL026W	P39990
YEL026W	A0A6A5PW82
YEL050C	P32611
YEL050C	A0A6A5PZT6
YEL054C	A0A6A5Q275
YEL054C	P0CX53
YEL054C	P0CX54
YER056C-A	P87262
YER074W	P0CX31
YER074W	P0CX32
YER102W	P0CX40
YER102W	A0A6A5Q1H1
YER102W	P0CX39
YER117W	P0CX41
YER117W	P0CX42
YER131W	P39939
YER131W	A0A6A5Q0E8
YFL034C-A	P56628
YFR031C-A	P0CX46
YFR031C-A	P0CX45
YFR032C-A	P05747
YFR032C-A	A0A6A5PWR1
YGL030W	P14120
YGL031C	P04449
YGL031C	A0A6A5PY83
YGL076C	P05737
YGL103W	P02406
YGL123W	P25443
YGL123W	A0A6A5PWF7
YGL135W	P0CX43
YGL135W	P0CX44
YGL135W	A0A6A5Q2N7
YGL147C	P05738
YGL147C	A0A8H4FCT7
YGL189C	A0A6A5PUG0
YGL189C	P39938
YGR027C	Q3E792
YGR027C	A0A6A5PZ18
YGR034W	P53221
YGR085C	Q3E757
YGR085C	A0A6A5PYM2
YGR118W	P0CX29
YGR118W	P0CX30
YGR148C	P24000
YGR148C	A0A6A5Q135
YGR214W	P32905
YHL001W	P38754
YHL015W	P38701
YHL015W	A0A6A5PVE9
YHL033C	P17076
YHL033C	A0A8H4C0K3
YHR010W	P0C2H6
YHR021C	P38711
YHR052W	A0A6A5PXQ6
YHR052W	P38779
YHR141C	P0CX27
YHR141C	P0CX28
YHR148W	A0A6A5PXI3
YHR148W	P32899
YHR203C	P0CX35
YHR203C	P0CX36
YIL018W	P0CX46
YIL018W	P0CX45
YIL052C	P40525
YIL069C	P0CX31
YIL069C	P0CX32
YIL133C	P26784
YIL148W	P0CH08
YIL148W	P0CH09
YJL136C	Q3E754
YJL177W	P46990
YJL189W	P04650
YJL190C	A0A6A5PSE9
YJL190C	P0C0W1
YJL191W	P39516
YJR094W-A	P0CX25
YJR094W-A	P0CX26
YJR123W	A0A1L4AA68
YJR123W	P26783
YJR145C	P0CX35
YJR145C	P0CX36
YKL006W	P36105
YKL009W	P33201
YKL009W	A0A6A5PVB7
YKL156W	P35997
YKL180W	P05740
YKR057W	P0C0V8
YKR094C	P0CH08
YKR094C	P0CH09
YLL045C	P29453
YLL045C	A0A8H4F898
YLR009W	A0A6A5PUP3
YLR009W	Q07915
YLR029C	A0A8H4BX09
YLR029C	P05748
YLR048W	P46654
YLR061W	P05749
YLR075W	A0A6A5PUZ5
YLR075W	P41805
YLR167W	A0A6A5PU37
YLR167W	P05759
YLR185W	P49166
YLR264W	A0A6A5PUX6
YLR264W	P0C0X0
YLR287C-A	P0CX33
YLR287C-A	P0CX34
YLR325C	P49167
YLR325C	A0A6A5PUL8
YLR333C	A0A6A5PTN7
YLR333C	P0C0T4
YLR340W	P05317
YLR344W	P05743
YLR367W	Q3E7Y3
YLR388W	P41057
YLR388W	A0A6A5PV92
YLR406C	P0C2H9
YLR441C	A0A6A5PRY4
YLR441C	P33442
YLR448W	P05739
YML024W	P02407
YML026C	P0CX56
YML026C	P0CX55
YML063W	A0A6A5PQ18
YML063W	P23248
YML073C	Q02326
YMR121C	A0A6A5PPS4
YMR121C	P54780
YMR142C	P40212
YMR143W	P0CX52
YMR143W	P0CX51
YMR194W	P05745
YMR230W	P46784
YMR242C	
YNL002C	P40693
YNL002C	A0A8H4BY26
YNL067W	A0A6A5Q3Z6
YNL067W	P51401
YNL069C	P26785
YNL096C	P48164
YNL162W	P0CX27
YNL162W	P0CX28
YNL178W	A0A6A5Q3Q1
YNL178W	P05750
YNL301C	P0CX50
YNL301C	P0CX49
YNL302C	P07281
YOL039W	A0A6A5Q416
YOL039W	P05319
YOL040C	A0A6A5Q6F2
YOL040C	Q01855
YOL120C	P0CX50
YOL120C	P0CX49
YOL121C	P07280
YOL127W	P04456
YOR063W	A0A6A5Q627
YOR063W	P14126
YOR096W	P26786
YOR167C	Q3E7X9
YOR167C	A0A6A5Q700
YOR182C	P0CX33
YOR182C	P0CX34
YOR234C	P41056
YOR293W	Q08745
YOR312C	
YOR369C	P48589
YOR369C	A0A6A5Q8I3
YPL079W	Q12672
YPL081W	O13516
YPL090C	P0CX38
YPL090C	P0CX37
YPL131W	A0A6A5Q0W8
YPL131W	P26321
YPL143W	P05744
YPL198W	Q12213
YPL220W	P0CX43
YPL220W	P0CX44
YPL220W	A0A6A5Q2N7
YPL249C-A	O14455
YPR043W	P0CX25
YPR043W	P0CX26
YPR102C	A0A6A5Q7I9
YPR102C	P0C0W9
YPR132W	P0CX29
YPR132W	P0CX30
